Rank,Playcount,Song Name,Song ID,Artist Names,Artist IDs,Album Name,Album ID
1,356,Last Laugh,487190487,"Jameston Thieves, TWO OWLS","1085044, 12426018",Last Laugh,35688114
2,329,白い街の旅人,1915515491,"朱彦安, 夏野Natsuno","12057021, 29023386",白い街の旅人,139550465
3,306,聞いて。 (feat. さんひ),1453323427,"犬も食わねぇよ。, さんひ","35429348, 0",っぽい曲しかねぇよ。 ～二次元編～,90412969
4,282,#ウマRAP,2009991952,"前田玲奈, 徳井青空, 山本希望, 渡部優衣, 渡部恵子","1027023, 740113, 18324, 1046426, 12278968",#ウマRAP,157278175
5,177,崖の上のポニョ -Brass Rock Ver.-,484058214,"シエナ・ウインド・オーケストラ, オリタ ノボッタ","12302044, 12302074",SUPER SOUND COLLECTION スタジオジブリ吹奏楽,35622060
6,118,不要说话,25906124,陈奕迅,2116,不想放手,2339617
7,111,I Love Rock 'N Roll,1311762133,Joan Jett,60931,Bad Reputation (Music from the Original Motion Picture),73523992
8,80,I Was King,441102546,ONE OK ROCK,20878,Ambitions,34923761
9,80,Cloudwatching,1874261545,"Belak, Powfu","29593195, 28900371",Cloudwatching,132538047
10,73,Binx,1325670015,obylx,29280828,Once,74426272
11,71,ふでペン 〜ボールペン〜（ゆいあずVer.,22714110,"豊崎愛生, 竹達彩奈","17966, 18007",K-ON!! ORIGINAL SOUND TRACK Vol.2,2084826
12,64,崩坏世界的歌姬 (Movie Ver.),1459722976,小林未郁,16823,崩坏3-Review-Original Soundtrack,91843186
13,62,Glory,1343458353,The Score,212904,Pressure,75404138
14,59,Demons,19945735,Imagine Dragons,94779,Night Visions (Deluxe),1844256
15,58,Rumble,1440405062,Zayde Wølf,12073833,Rumble,87969268
16,57,修炼爱情 (Live),400875269,徐佳莹,9940,我是歌手第四季 第2期,34436149
17,55,Galway Girl,460043704,Ed Sheeran,33184,÷ (Deluxe),35150843
18,52,步步,28181103,五月天,13193,五月天 | 步步 | 自选作品辑 the Best of 1999-2013,2740205
19,52,立ち位置ゼロ番！順位は一番！,1992357879,大和田仁美,12935717,『ウマ娘 プリティーダービー』WINNING LIVE 08,153781605
20,50,铁血丹心,112678,"罗文, 甄妮","3698, 10594",射雕英雄传,11088
21,50,Perfect,460043703,Ed Sheeran,33184,÷ (Deluxe),35150843
22,44,いつも何度でも,4904688,"宗次郎, 白鳥英美子","14960, 160160",オカリナ・エチュード5~スクリーン・ミュージック~ [Soundtrack],491803
23,44,Sprout,1971627037,"高橋李依, KOTONOHOUSE","1120106, 12054262",Princess Letter(s)! フロムアイドル Sprout,149603728
24,42,FRIENDS,535024262,"Marshmello, Anne-Marie","1060019, 1102181",FRIENDS,37425872
25,42,Free Loop,5253801,Daniel Powter,31187,"Cf, Movie & Drama Hits 广告，开麦拉！",511973
26,39,Look At Me Now,28188171,Charlie Puth,90331,Ego,2742030
27,38,Comment Te Dire Adieu?,5094776,Allice Carreri & String Swing,29894760,TAS: The Absolute Sound 2010,503792
28,38,Pacific Rim (feat. Tom Morello),26625301,"Ramin Djawadi, Tom Morello","41992, 103436",Pacific Rim Soundtrack from Warner Bros. Pictures and Legendary Pictures,2536684
29,36,How Long,509728806,Charlie Puth,90331,Voicenotes,38530129
30,35,我的悲伤是水做的,1439814454,"ChiliChill, 洛天依","34477557, 906118",我的悲伤是水做的,87893694
31,32,Apologize,5138277,"Timbaland, OneRepublic","44263, 98105",Now Big Hits 2008 (Danish Edition),505741
32,31,Burn Out,1308819693,"Martin Garrix, Justin Mylo, Dewain Whitmore","780003, 12082294, 14043443",Burn Out,72795071
33,31,for him.,37955044,"Troye Sivan, Allday","45129, 784209",Blue Neighbourhood (Deluxe),3329047
34,31,All Falls Down,515453363,"Alan Walker, Noah Cyrus, Digital Farm Animals, Juliander","1045123, 12175271, 840929, 12647253",All Falls Down,36682047
35,31,Maps,32238072,Maroon 5,96266,V (Asia Tour Edition),3156738
36,30,暖かい家路,541259,吉森信,15855,夏目友人帐 参・肆 音楽集 ひねもすきらりきらり,50688
37,29,Nevada,418602088,"Vicetone, Cozi Zuehlsdorff","747030, 1097153",Nevada,34750015
38,29,color-X 3D,34380473,徐梦圆,1142042,3D-E,3283211
39,28,DOGMA ,1470465295,"wotaku, 初音ミク","34758827, 159692",DOGMA,93853765
40,28,Without You,496869523,"Avicii, Sandro Cavazza","45236, 12323230",AVĪCI (01),35919060
41,28,Believer,523030374,Imagine Dragons,94779,Best Of 2017,36902353
42,28,Radioactive,19945726,Imagine Dragons,94779,Continued Silence EP,1844255
43,28,Xenogenesis,29771215,TheFatRat,1019952,Xenogenesis,3076175
44,27,Summer Rain,1382515441,"Manse, YARO, Philip Strand","855409, 46639592, 13210678",Summer Rain,80810004
45,27,Hello,35847388,Adele,46487,Hello,3377030
46,26,天使にふれたよ!,26201959,放課後ティータイム,161782,K-ON! Music History's Box,2420303
47,26,Counting Stars,28247832,OneRepublic,98105,"Now That's What I Call Music!, Vol. 49",2761290
48,26,Yellow,17177324,Coldplay,89365,Yellow,1582613
49,25,恋爱困难少女,1494813207,ChiliChill,34477557,恋爱困难少女,98218773
50,25,About To Get Crazy,1308429020,Oh The Larceny,12333048,Move With It,73177218
51,25,Treasure,25657233,Bruno Mars,178059,Unorthodox Jukebox,2270037
52,24,ひみつ基地,2003496922,結束バンド,54103171,結束バンド,155874527
53,24,感電,1466597802,米津玄師,159300,STRAY SHEEP,93162249
54,24,Xenogenesis,1321575661,TheFatRat,1019952,"Sounds of Syndication, Vol. 2 (Presented by Syndicate)",74164222
55,24,Old Town Road (Remix),1356795124,"Lil Nas X, Billy Ray Cyrus","31646483, 29385",Old Town Road (Remix),78339336
56,24,Someone Like You,16435049,Adele,46487,Someone Like You,1515348
57,24,The Ocean,436514221,"Mike Perry, SHY Martin","195021, 12354062",Dream Dance Vol.81,34930239
58,24,Shape of You,451703096,Ed Sheeran,33184,Shape of You,35114127
59,24,All We Know,432698441,"The Chainsmokers, Phoebe Ryan","893484, 854363",All We Know,34897575
60,23,Limbo,1976353289,春野,30074584,Limbo,150550718
61,23,風を食む,1485319473,ヨルシカ,12390232,風を食む,96494813
62,23,Hoohah,33916120,"Fox Stevenson, Curbi","794279, 1049915",Hoohah,3266202
63,23,Wolves,515269424,"Selena Gomez, Marshmello","140196, 1060019",Wolves,36672203
64,22,ほろよい,1978611826,さんひ,46598289,ほろよい,151005742
65,22,Lemon,536622304,米津玄師,159300,Lemon,37575103
66,22,Beautiful Now,32019002,"Zedd, Jon Bellion","46376, 860113",True Colors,3119381
67,22,Unity,29534449,TheFatRat,1019952,Unity,3034131
68,22,Lemon Tree,27180681,Fool's Garden,92442,Die Ultimative Chartshow (Die Erfolgreichsten One-Hit-Wonder),2592268
69,21,HERE I AM (2v-alk_v),507114418,"R!N/Gemie, SawanoHiroyuki[nZk]","12531080, 1096011",2V-Alk,36030720
70,21,星座になれたら,2003496380,結束バンド,54103171,星座になれたら,155874456
71,21,So Far Away,521416693,"Martin Garrix, David Guetta, Jamie Scott, Romy Dya","780003, 31211, 141813, 12900365",So Far Away,36873174
72,21,My Love,26867112,Westlife,45839,Het Beste Uit De Mega Top 100 '01,2566360
73,21,YOUTH,36668810,Troye Sivan,45129,Blue Neighbourhood (Deluxe),3329047
74,21,Closer,423228325,"The Chainsmokers, Halsey","893484, 964321",Closer,34796273
75,21,Rolling in the Deep,16435051,Adele,46487,Rolling in the Deep,1515350
76,21,China-X,41500546,徐梦圆,1142042,Change,3431123
77,20,MASHUP 2021 “POWER OF YOU“,1906908636,AnDyWuMUSICLAND,11998011,,0
78,20,Treat You Better,415904452,Shawn Mendes,956238,Treat You Better,34726351
79,20,Battle Symphony,460043748,Linkin Park,95439,One More Light,35150852
80,20,Shots (Broiler Remix),31789010,"Broiler, Imagine Dragons","886022, 94779",Shots,3138008
81,20,Havana,494865824,"Camila Cabello, Young Thug","12136039, 287014",Havana,35829532
82,20,Waiting For Love,31356499,"Avicii, Martin Garrix, Simon Aldred","45236, 780003, 13855993",Waiting For Love,3117514
83,19,花は誰のもの?,1931600016,STU48,13057759,花は誰のもの?,142413870
84,19,Feel It,431853284,Axero,1035020,Feel It,34898066
85,19,Heist,35331692,Noisestorm,98081,Heist,3319069
86,19,Telescope,522444650,"Tim Legend, Transviolet","12006158, 1122080",Telescope,36901220
87,19,LOST BOY,37988002,Troye Sivan,45129,Blue Neighbourhood (Deluxe),3329047
88,19,Legend,471411253,The Score,212904,Myths & Legends,35357066
89,19,Viva La Vida,3986017,Coldplay,89365,Viva La Vida or Death and All His Friends,403157
90,19,Best Day Of My Life,27646851,American Authors,762135,American Authors,2646392
91,19,Where The Love Goes,475264163,"Anjulie, Oskar Flood","46502, 14078515",Where The Love Goes,35448092
92,19,Something Just Like This,461347998,"The Chainsmokers, Coldplay","893484, 89365",Something Just Like This,35196287
93,19,Lucky Strike,21253809,Maroon 5,96266,Overexposed (Deluxe Version),1963855
94,19,Life,28830410,Tobu,964486,Life,2901138
95,19,Jackpot,441612737,TheFatRat,1019952,Jackpot,34997198
96,19,Anywhere I Go,420069116,Vicetone,747030,Anywhere I Go,34770055
97,19,Numb,4153366,Linkin Park,95439,Numb,419872
98,19,Walk Away,2529311,Dia Frampton,55454,Red,254624
99,18,Never Gonna Give You Up (2022 Remaster),1925215787,Rick Astley,41993,Whenever You Need Somebody (Deluxe Edition - 2022 Remaster),141281198
100,18,Who Do You Love,1344670477,"The Chainsmokers, 5 Seconds of Summer","893484, 893624",Who Do You Love,75481029
