Song Name,Song ID,Artist Names,Artist IDs,Album Name,Album ID
Parade on Cleveland (feat. Drake),2058108642,Young Thug,287014,BUSINESS IS BUSINESS,168200250
Shy Boy,2057947407,Carly Rae Jepsen,50934,Shy Boy,168159712
Barbie World (with Aqua) [From Barbie The Album],2057705503,Nicki Minaj,70183,Barbie World (with Aqua) [From Barbie The Album],168097540
One Of The Girls,2058139099,The Weeknd,185858,The Idol Episode 4 (Music from the HBO Original Series),168206349
笼,2057534370,张碧晨,1024308,笼,168052660
你永远可以相信老常同志！,2057554142,宝石Gem,12084497,你永远可以相信老常同志！,168056994
Hug me(Remix版),2057546701,蔡徐坤,12932368,Hug me(Remix版),168054552
野,2057486487,鬼卞,1008034,野,168042623
招魂,2057506191,窦唯,2515,招魂,168048166
Gloria,2057709571,G.E.M.邓紫棋,7763,Revelación,168097897
这个夏天,2054294320,范世錡,12356808,普鲁斯特,167305311
Wonderful Life,2055197526,平井 大,14270,SURF & TURF,167507911
竈門禰豆子のうた,2057210099,椎名豪,15506,竈門禰豆子のうた,167966007
只想把你偷偷藏好,2056206939,汪苏泷,5538,偷偷藏不住 影视原声专辑,167755906
我会永远记得想你,2056897713,尤长靖,13058503,我会永远记得想你,167901900
唯一,2056979312,五月天,13193,唯一,167915414
"Steal The Show (From ""Elemental"")",2056105256,Lauv,1057226,Elemental (Original Motion Picture Soundtrack),167737462
Family,2054964023,The Weeknd,185858,The Idol Episode 2 (Music from the HBO Original Series),167453765
Westside Story,2055944573,DJ Snake,296416,Westside Story,167692809
Angel Pt. 2,2055960887,JVKE,32988392,"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long / FAST X Soundtrack) (FAST X Soundtrack)",167698422
