Playcount,Song Name,Song ID,Artist Names,Artist IDs
106,LAST IMPRESSION,845094,TWO-MIX,21876
103,雨的舞步,1470483928,赵大鼾,33603866
103,TruE,1971144922,"黄龄, HOYO-MiX","7890, 12487174"
99,パチュリーズ・ベストヒットGSK,749647,IOSYS,19917
98,JUST COMMUNICATION,4939821,TWO-MIX,21876
93,あんなに一绪だったのに,819663,See-Saw,21318
93,"come on, sweet death",32944590,arianne schreiber,16038
91,One Last Kiss,1824020871,宇多田ヒカル,18122
90,祝福,1983292457,YOASOBI,33927412
90,Avid,1835951859,"SawanoHiroyuki[nZk], 瑞葵(mizuki)","1096011, 981205"
82,Da Capo,2026565329,HOYO-MiX,12487174
82,oath sign,608404,LiSA,16995
81,Звёздное лето,1953273961,"Алла Пугачёва, Ритм","13077073, 14246018"
81,Cyberangel,1375725396,Hanser,1049179
80,境界線,1879944789,amazarashi,18480
80,Lasting Memories,1311345709,田村ゆかり,17918
80,Regression,1913478990,"阿云嘎, HOYO-MiX","12200490, 12487174"
78,残酷な天使のテーゼ,657666,高橋洋子,17909
75,LilaS,1924858507,"SawanoHiroyuki[nZk], Honoka Takahashi","1096011, 33309937"
74,いけないボーダーライン,412327036,ワルキューレ,161017
73,3分29秒,1837125161,ヒトリエ,784134
72,Rubia,1815684465,周深,1030001
70,secret base ~君がくれたもの~ (10 years after Ver.),33911781,"茅野愛衣, 戸松遥, 早見沙織","16906, 17905, 16501"
68,piccolo,1948693782,bbno$,12054171
63,Elysian Realm,1969195578,HOYO-MiX,12487174
63,生きとし生けるもの,411315599,天宫エリカ,29711811
62,冬の花,1345485069,宮本浩次,159878
62,DEAREST DROP,474574924,田所あずさ,976347
61,崩坏世界的歌姬 (Movie Ver.),1459722976,小林未郁,16823
60,innocent arrogance,2033878961,BiSH,1081055
60,Imaginary,1969198077,HOYO-MiX,12487174
60,Burn,1395338963,NceS,12060064
58,Nightglow,1333199831,蔡健雅,7214
58,千年幻想郷　~ History of the Moon,766111,君の美術館,20147
57,YouSeeBIGGIRL/T:T,482633119,R!N/Gemie,12531080
57,Starfall,1426087898,袁娅维TIA RAY,10473
55,群青,1472480890,YOASOBI,33927412
54,カナリヤ,1466597809,米津玄師,159300
54,夕暮れの鳥,473940915,神聖かまってちゃん,21462
54,Call of Silence,482636090,R!N/Gemie,12531080
53,悪魔の子,1910623420,ヒグチアイ,942124
53,Moon Halo,1859652717,"茶理理, TetraCalyx, Hanser, HOYO-MiX","1003026, 1081556, 1049179, 12487174"
53,リテラチュア,1484844664,上田麗奈,1024317
52,I Really Want to Stay At Your House,1496089152,"Rosa Walton, Hallie Coggins","28096830, 37531921"
49,KICK BACK,1986803568,米津玄師,159300
49,憧憬と屍の道,1374245779,Linked Horizon,15258
48,踏上旅途（扩写版）,2043276824,黑铱BlackIris,47125630
48,心臓を捧げよ!,478731355,Linked Horizon,15258
47,Fight Another Day (Andy Tunstall Remix),1445872255,Kat Penkin,34287360
46,Back It Up,2410521,Caro Emerald,52945
45,不可思議のカルテ,1313052943,"瀬戸麻沙美, 東山奈央, 種崎敦美, 内田真礼, 久保ユリカ, 水瀬いのり","17858, 18012, 1137511, 18091, 900294, 1004106"
44,The Rumbling,1918969429,SiM,21618
44,千幻华 -a night with a hazy moon-,688641,アールグレイ,18495
43,Lemon,536622304,米津玄師,159300
43,打上花火,496869422,"Daoko, 米津玄師","855508, 159300"
43,僕の戦争,1844193709,神聖かまってちゃん,21462
43,BREAK IT,1300594284,"雄之助, 初音ミク","12053352, 159692"
43,The Greatest Show,515535828,"Hugh Jackman, Keala Settle, Zac Efron, Zendaya, The Greatest Showman Ensemble","218195, 13157135, 85162, 85274, 13222411"
42,アイドル,2034742057,YOASOBI,33927412
42,Nobody Knows,1335968354,Russ,241588
41,紅蓮の弓矢,26608719,Linked Horizon,15258
41,ささやく、消えかけた後遺症が。(with senya),1357399229,森永真由美,17227
41,Hyakkiyakou,29740665,Anti-General,1007061
40,Skyfall (Full Length),16435064,Adele,46487
40,靴の音を、響かせて、その手を,850502,めらみぽっぷ,17207
39,No Time To Die,1423123512,Billie Eilish,11972054
39,童祭　~ Innocent Treasures,766014,市松椿,29811828
39,共鳴しない愛のカタチ,436016269,"幽閉サテライト, 森永真由美","22435, 17227"
39,光るなら,29732992,Goose house,19618
38,幽明境を分かつこと,28941648,凋叶棕,21981
38,創造の地平線を見つめて,1316563399,兎明,13021586
38,果てなき風の軌跡さえ～破～,1413836644,"森永真由美, Marcia","17227, 34379592"
38,失眠,553817982,Lil Chaos,12897745
37,初めてのデート,475774775,SimorE,1203059
37,秋姉妹のなく頃に,691504,ばんばんしー,18585
37,Can't Make A Song!! (feat. 初音ミク),1366515793,beat_shobon,32238738
37,GQ,410654865,Lola Coca,12040030
36,IRAS 17514,1915838141,HOYO-MiX,12487174
36,Necro Fantasia feat. 美里,687463,美里,17151
36,桜花繚乱,482636948,はちみつれもん,19774
36,幽閉サテライトメドレーType：Iceon,22780378,森永真由美,17227
36,マインドブランド,407485173,"MARETU, 初音ミク","12011147, 159692"
35,螺旋を描く蝶 [Vocal：憐歌],444267516,舞風,20554
35,三千世界,27571849,森永真由美,17227
35,妄想税,27853410,"DECO*27, 初音ミク","14001, 159692"
35,Down The Road,17132597,C2C,90330
34,うみたがり,407485172,"MARETU, 初音ミク","12011147, 159692"
34,Rainy Blue (蓝色阴雨),1341912654,"饭碗的彼岸, 夜莺与玫瑰","1138028, 31231235"
33,It's Tricky,3315198,Run-D.M.C.,72741
32,AIAIAI,1353381404,"Kizuna AI, 中田ヤスタカ","27889701, 15064"
31,有谱 (Live),1880849699,李昂星,12258318
29,誰も彼も何処も何も知らない(#08 Special Arrange),2048304323,ASOBI同盟,52275910
29,月見酒,729107,Floating Cloud,19457
29,神のまにまに,32431066,"初音ミク, 鏡音リン, GUMI, れるりり","159692, 160154, 188274, 15690"
29,What is jazz,27124768,Club des Belugas,89578
28,星色夜空 るざ×ゆき ver.,869044,藤宮ゆき,191380
28,脳漿炸裂ガール,29124079,"初音ミク, GUMI, れるりり","159692, 188274, 15690"
28,The Next Episode (San Holo Remix),31997691,"San Holo, Snoop Dogg, Dr. Dre","1017035, 42939, 53243"
27,誰も彼も何処も何も知らない,2033099768,ASOBI同盟,52275910
27,不可思議のカルテ (桜島麻衣ソロVer.),1336866655,瀬戸麻沙美,17858
