Song Name,Song ID,Artist Names,Artist IDs,Album Name,Album ID
这个夏天,2054294320,范世錡,12356808,普鲁斯特,167305311
Wonderful Life,2055197526,平井 大,14270,SURF & TURF,167507911
竈門禰豆子のうた,2057210099,椎名豪,15506,竈門禰豆子のうた,167966007
只想把你偷偷藏好,2056206939,汪苏泷,5538,偷偷藏不住 影视原声专辑,167755906
我会永远记得想你,2056897713,尤长靖,13058503,我会永远记得想你,167901900
唯一,2056979312,五月天,13193,唯一,167915414
"Steal The Show (From ""Elemental"")",2056105256,Lauv,1057226,Elemental (Original Motion Picture Soundtrack),167737462
Family,2054964023,The Weeknd,185858,The Idol Episode 2 (Music from the HBO Original Series),167453765
Westside Story,2055944573,DJ Snake,296416,Westside Story,167692809
Angel Pt. 2,2055960887,JVKE,32988392,"Angel Pt. 2 (feat. Jimin of BTS, Charlie Puth and Muni Long / FAST X Soundtrack) (FAST X Soundtrack)",167698422
老街旧巷,2055821929,双笙（陈元汐）,12025552,老街旧巷,167666591
给给,2056207000,李宇春,8327,给给,167755932
Attention,2055149845,Doja Cat,911131,Attention,167489613
怎样歌,2055882983,伍佰 & China Blue,222871,纯白的起点,167680448
崇拜,2055887708,薛之谦,5781,崇拜,167681966
只有你,2055575000,许嵩,5771,只有你,167601954
Hold On,2054311885,Running Blue,13643015,Return,167308485
虽然留不住时光,2055013820,刘雨昕XIN,12217134,虽然留不住时光,167461540
算了,2052409208,Vinida (万妮达),12001060,算了,166871336
暴风雪,2055215378,姜云升,1198123,迄今为止的生命里,166450015
