Song Name,Song ID,Artists,Album Name,Album ID
恋爱困难少女,1494813207,"[{'name': 'ChiliChill', 'id': 34477557}]",恋爱困难少女,98218773
Superstition,21613034,"[{'name': 'Stevie Wonder', 'id': 42948}]",Song Review A Greatest Hits Collection,1991055
ワタシダケユウレイ,2046523670,"[{'name': 'SICK HACK', 'id': 55326035}]",ぼっち・ざ・ろっく! オリジナルサウンドトラックvol.5,165400448
Thunderbird,1469168121,"[{'name': 'Ryan Taubert', 'id': 1057026}]",Thunderbird,93632855
Godzilla,1954117449,"[{'name': 'Luca Stricagnoli', 'id': 1192360}]",Godzilla,146143061
Shall We Talk (Tre Lune MMXIX),1462659723,"[{'name': '陈奕迅', 'id': 2116}]",Shall We Talk (Tre Lune MMXIX),92392526
Samurai 45,1379821181,"[{'name': 'MIYAVI', 'id': 14732}]",NO SLEEP TILL TOKYO,80583621
STARLIGHT,1959303001,"[{'name': 'iri', 'id': 12154101}]",STARLIGHT,147130764
ラブ・ドラマティック,1937494563,"[{'name': '古川慎', 'id': 1078356}, {'name': '古賀葵', 'id': 12526213}]",KAGUYA ULTRA BEST,143377195
東京フラッシュ,1450926258,"[{'name': 'Vaundy', 'id': 34343313}]",strobo,89955472
残響散歌 - From THE FIRST TAKE,2003298515,"[{'name': 'Aimer', 'id': 16152}]",残響散歌 - From THE FIRST TAKE,155832764
君が好きだと叫びたい,695016,"[{'name': 'BAAD', 'id': 18711}]",君が好きだと叫びたい,67442
想你的旧名字,112167,"[{'name': '李克勤', 'id': 3699}]",No.1 Hits,11035
Endospore,2036772972,"[{'name': '塞壬唱片-MSR', 'id': 32540734}, {'name': 'Gareth Coker', 'id': 1053140}]",Endospore,163171340
I Really Want to Stay At Your House（完整版·粤语复古）,2003621098,"[{'name': '銘晴Halo', 'id': 54526284}]",完整版·粤语复古《I Really Want to Stay At Your House》,155903796
罪の天使,468513232,"[{'name': 'TetraCalyx', 'id': 1081556}]",崩坏学园2 OST,35313324
GIRI GIRI,1933300038,"[{'name': '鈴木雅之', 'id': 160376}, {'name': 'すぅ', 'id': 29974356}]",GIRI GIRI,142702521
Won't Go Home Without You,21253900,"[{'name': 'Maroon 5', 'id': 96266}]",It Won't Be Soon Before Long,1963861
